#	Sample ID	User name	Date and Time	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	Factor
108	Clean-E2	Marly Erazo	25/11/2024 17:32	-76	ng/µl	-1.521	-1.515	1	0.61	DNA	50
109	Clean-E4	Marly Erazo	25/11/2024 17:32	18.7	ng/µl	0.375	0.251	1.49	2.53	DNA	50
110	Clean-E5	Marly Erazo	25/11/2024 17:33	-1.7	ng/µl	-0.033	-0.006	5.57	0.5	DNA	50
111	Clean-E6	Marly Erazo	25/11/2024 17:33	11.3	ng/µl	0.226	0.156	1.46	4.12	DNA	50
112	Clean-E7	Marly Erazo	25/11/2024 17:33	44	ng/µl	0.88	0.513	1.71	1.6	DNA	50
113	Clean-E8	Marly Erazo	25/11/2024 17:33	25.6	ng/µl	0.513	0.298	1.72	3.06	DNA	50
114	Clean-E9	Marly Erazo	25/11/2024 17:34	17.8	ng/µl	0.355	0.236	1.5	3.99	DNA	50
115	Clean-E10	Marly Erazo	25/11/2024 17:34	55.8	ng/µl	1.116	0.642	1.74	2.65	DNA	50
116	Clean-E11	Marly Erazo	25/11/2024 17:34	-1.1	ng/µl	-0.022	0.008	-2.88	0.35	DNA	50
117	Clean-E12	Marly Erazo	25/11/2024 17:35	-3.4	ng/µl	-0.069	-0.021	3.24	0.52	DNA	50
118	Clean-F1	Marly Erazo	25/11/2024 17:35	-0.9	ng/µl	-0.018	0.017	-1.07	0.29	DNA	50
119	Clean-F2	Marly Erazo	25/11/2024 17:35	1.1	ng/µl	0.022	0.054	0.41	1.09	DNA	50
120	Clean-F3	Marly Erazo	25/11/2024 17:36	-0.6	ng/µl	-0.011	0.022	-0.53	0.25	DNA	50
