tax_id	species	genus	family	order	class	phylum	superkingdom	barcode06	barcode13	barcode15	barcode19	barcode20	barcode16	barcode25	barcode17	barcode03	barcode01	barcode02	barcode04	barcode07	barcode14	barcode05	barcode18	barcode26	barcode28	barcode30	barcode27	barcode31	barcode29	barcode37	barcode38	barcode39	barcode40	barcode41	barcode46	barcode42	barcode49	barcode43	barcode51	barcode50	barcode55	barcode53	barcode54	barcode61	barcode62	barcode64	barcode63	barcode67	barcode52	barcode72	barcode73	barcode65	barcode74	barcode75	barcode66	barcode76	barcode79	barcode84	barcode77	barcode85	barcode87	barcode78	barcode90	barcode86	barcode91	barcode89	barcode88
575489	Preussia sp. CCF3831	Preussia	Sporormiaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota	396.0247486804684	19.20096038297505	35.2919477348063					622.5551832760251		21.40195895926602	100.43274277330988	21.99775202658914		176.73411926987532	57.1319749978361	5029.5098312891		42.10036027060489		160.6983144769797	29.979993493570152				55.49734506576715		41.355152671125126				40.01426454507606		273.8901720967053		1805.083181051084		33.41085076499318	112.85918714835196	3047.668285251248	389.87336835009415		16.00320455320141	3.0722948201253613	41.633485894330846	1252.28439030391	1155.1860530037131	344.9297416372387	21.311666665984408			1.1153846153846154	50.091785163502585				152.35496549165617	38.55993605586566			2196.688831965095
575512	Coprinopsis lagopus	Coprinopsis	Psathyrellaceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota																																						29.486348660797425																						
575976	uncultured Chaetothyriales			Chaetothyriales	Eurotiomycetes	Ascomycota	Eukaryota																							36.09416753126019																																					
575983	Trametes cingulata	Trametes	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Eukaryota																																49.23030926903753																												
576860	Coniochaetales sp. GMG_C4			Coniochaetales	Sordariomycetes	Ascomycota	Eukaryota																																														38.16351755744951														
576871	Pyrenochaeta sp. GMG_PPb7	Pyrenochaeta	Cucurbitariaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota																														17.119561795016445																														
57688	Fibulobasidium inconspicuum	Fibulobasidium	Sirobasidiaceae	Tremellales	Tremellomycetes	Basidiomycota	Eukaryota																																												27.29190141155946																
577396	Phoma sp. ZH2.1	Phoma	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota						18.027940563230867	14.19328068001127	46.2014717542181	11.352152517490929		11.72632802135402		27.710639614846443			56.72564371361127													20.74026702857348		37.06034012243552		55.06893614510491			24.362982020271787				26.971175401236906				24.05449345406173																
578459	Rhodotorula graminis	Rhodotorula	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Eukaryota											12.127094004732228									160.3836217781164																																								
5804	Eimeria maxima	Eimeria	Eimeriidae	Eucoccidiorida	Conoidasida	Apicomplexa	Eukaryota									48.32071741317505																20.450743255511057																																			
5811	Toxoplasma gondii	Toxoplasma	Sarcocystidae	Eucoccidiorida	Conoidasida	Apicomplexa	Eukaryota																																																									17.026148915692715			
584655	Arcuseries petzi	Arcuseries	Urostylidae	Urostylida	Spirotrichea	Ciliophora	Eukaryota						10.299802213465451						53.393387204865874										78.54635952589537							12.580178206755198	13.570395808532083																		119.1660308414048	54.61121480920289					17.83289302336272	48.65098945480419					
584887	Amphisolenia bidentata	Amphisolenia	Amphisoleniaceae	Dinophysiales	Dinophyceae		Eukaryota																																																									16.487380941241984			
584889	Amphisolenia thrinax	Amphisolenia	Amphisoleniaceae	Dinophysiales	Dinophyceae		Eukaryota																																																									17.54665062192035			
584890	Amphisolenia schauinslandii	Amphisolenia	Amphisoleniaceae	Dinophysiales	Dinophyceae		Eukaryota																																																									18.2818528829432			
58627	Debaryomyces fabryi	Debaryomyces	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota						48.88991266821537														194.17858441582547																																								
5871	Babesia caballi	Babesia	Babesiidae	Piroplasmida	Aconoidasida	Apicomplexa	Eukaryota																																																									113.17012968212552			
587610	Phoma sp. CPCC 480669	Phoma	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota								27.834694210565367								19.953836658813174																	23.803857521491505																											
587611	Phoma sp. CPCC 480728	Phoma	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota								19.01564168544509																									12.656349661519112																											
587875	Ascomycota sp. morphotype no. 53					Ascomycota	Eukaryota								20.215833905958817																																																				
588750	Sporobolomyces sp. GY23S04	Sporobolomyces	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Eukaryota																																				10.989110468067294																								
589304	uncultured marine dinoflagellate				Dinophyceae		Eukaryota																				26.107948381068542																64.78839076978473				33.019866232766304																	16.520067303496386			
