Sample_ID,Observed,Shannon,InvSimpson,barcode_16s,is_control,sample_or_control,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,LibrarySize,is.neg
R36__barcode40,74,2.7427785977166166,7.271025258931422,barcode40,FALSE,sample,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,52,Bush,24.03.2023,11,16,52806.99999973892,FALSE
R37__barcode41,63,2.5544806132365725,5.404186094931072,barcode41,FALSE,sample,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023,18,16,27721.000000108575,FALSE
R38__barcode42,49,1.5130395270640002,2.327569418189874,barcode42,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,14,16,45606.00000004385,FALSE
R40__barcode44,55,1.8872192450760459,2.960736508459538,barcode44,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,18,16,37773.000000033644,FALSE
R41__barcode45,71,2.857929694875362,8.864172090199533,barcode45,FALSE,sample,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023,27,16,32909.99999999194,FALSE
R45__barcode49,48,2.353304215357238,6.236090084210018,barcode49,FALSE,sample,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023,16,16,22774.00000000034,FALSE
R46__barcode50,76,1.8263810756830472,2.621814027611439,barcode50,FALSE,sample,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023,25,16,56957.000000033964,FALSE
R50__barcode54,86,2.879359272037315,8.877031981934296,barcode54,FALSE,sample,-22.579395,18.192067,Micaelamys_namaquesnsis,female,adult,36,Bush,26.03.2023,12,16,42622.99999995585,FALSE
R51__barcode55,85,2.406803417829822,6.088010732218156,barcode55,FALSE,sample,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,40,Bush,26.03.2023,18,16,56263.99999999346,FALSE
R52__barcode56,56,1.9450395556077513,3.8472665964263526,barcode56,FALSE,sample,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,28,Bush,26.03.2023,30,16,49162.99999997375,FALSE
