"tax_id","R31","R34","C1","R55","R37","R1","R22","R48","R7.b","R11","R36","R13","R43","R51","R32","R3.1","R53","R56","R1.1","R5.2","R20_19","R4","R41","R33","R50","R16","R14","R29","R5.1","R24","R54","R39","R15","R35","R10","R27","R21","R44","R40","R7.a","R38","R6.b","R49","R19","R18","R28","R25","R52","R46","R3.2","R30","R45","R42","R2.2","R12","R23","R26","R47","R6.a","C2","R9"
"6830",10.59887811,1.166081647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.713746,0,0,0,0,0,10,10.99924463,0,0,1.001066098,0,0,0,0,0,0,0,12.01511242,0,0,0,0,0,5.168812193,0,1.001335113,0,0,501.7698837,41.53782676,9,0,0
"4292",30.0062034,6.115666146,0,0,31.30106364,0,59.69953221,0,1.006339144,44.01170908,26.37438399,0,0,27.30973314,35.06933696,0,2.007517167,42.0779363,144.1556389,0,0,0,9.065341887,1.000011678,24.80898779,23.71553842,44.18471165,59.95967159,0,0,37.08968948,39.74009424,0,9.000000031,12.39721811,0,0,1.02229149,5,0,0,0,0,9.963705493,6.936980975,17.0403205,0,0,0,1,0,14.03553462,5,16.02136002,39.70274353,14.00467496,20.62712491,0,9,0,0
"15397",0,0,0,13.62353931,0,0,94.46590962,46.69427634,15.3258308,1.000117844,18.04714205,1.001410437,0,0,11.9885688,0,0,0,0,0,0,161.8236272,2.002516601,2.000112011,0,0,0,0,0,29.53128045,3.007776603,269.5353609,0,0,7.999782577,0,69.17951853,0,1.002450496,18.22607683,12.64960187,116.9569967,45.75028014,0,0,4.005093637,32.97966365,0,0,2,0,1.001776199,0,1.005588689,0,1.007283941,0,0,151.7492314,0,0
"1069",0,0,0,0,0,0,59.49078595,15.67071022,63.37286548,0,0,0,0,0,0,41.70605824,33.15388677,0,92.09180363,0,0,0,6.252111967,5.307550085,115.5160179,0,0,0,0,118.3820634,0,0,59.60093065,2.005486772,0,0,0,1.0059514,0,54.98355916,0,0,18.44973481,0,1.100959323,1.001258835,0,72.08507815,84.20643303,0,6.55554341,0,5.274872875,64.26832712,0,42.12479752,0,0,0,0,0
"955",0,8.498506965,0,0,2.091153612,0,20.58029319,12.96630759,15.46357066,6.166099234,29.16911721,0,0,0,0,0,8.4706341,0,0,36.86567164,213.6324597,0,54.97471381,11.51391798,20.61746199,0,0,0,37.21833974,21.53184943,0,0,28.83998125,1.415113015,0,16.2488243,48.93553337,0,36.06273896,29.8875154,22.65256942,18.21365841,3.87972578,106.7875931,0,0,0,23.13656855,15.29378557,0,11.31514824,5.850754677,9.125604161,7.650382201,0,11.6880827,0,0,4.018061047,0,15.26178145
"9668",0,0,0,16.43825893,0,0,0,0,0,2,25.33849729,454.5947359,0,0,14.18456418,0,0,67.85,0,0,0,0,17.02146465,0,30.04938121,93.00439946,26.90834855,16.14649682,0,0,0,0,34.55437923,5.001186066,0,0,0,1.001066098,0,0,0,0,0,4,0,0,35.01371841,0,0,0,0,8.014209592,0,0,41.14312268,0,0,0,1,0,355.1688103
"1880",57.53517275,10.00037861,0,0,42.93590578,45.58422881,35.0635049,0,2.429950939,18.69660374,45.41652865,1.001410437,1.999999985,114.6651082,156.7082298,0,9.999931931,44.08379788,22.90264281,0,27.53507684,41.78318436,52.83391294,6.000008178,38.63576794,100.4760091,99.44025561,0,15.90076635,0,26.44035641,115.6620648,32.17132515,22.06829588,16.02696268,0,20.18963257,10.37855454,33.0048197,1.000000021,26.60892162,1.980369672,4.00836469,36.10214778,42.78873742,16.18437873,24.21553579,0,0,1,2.002721088,13.03214749,8.324155911,3.00400534,66.84170802,19.36838318,18.97573508,0,3.001823092,0,15.20991055
"15332",0,0,0,515.2337636,5,0,13.39663761,44.14775115,0,2,488.8222058,0,0,0,38.1900259,0,0,0,0,0,0,0,10.01263468,0,0,0,0,16.14649682,0,0,16.03555556,42.36378184,0,0,56.00005564,0,0,1.001066098,30.00000406,0,186.3850409,251.1186582,0,0,1.002192982,50.06276147,263.1449068,0,0,0,0,0,0,0,0,1.001086957,25.30093458,0,195.0445039,0,0
"257",103.7593436,103.1375942,0,0,42.6321234,84.02648925,291.1910081,0,15.59153806,87.65763405,18.63776305,9.012693935,0,428.0704989,250.5060223,22.0437647,89.60169043,102.276207,39.85005424,43.61695323,53.26315944,70.32585973,31.59022512,16.00691981,68.39702407,66.42773059,100.8916822,24.77258461,82.60297407,16.36100387,82.57654937,73.06727545,73.50301864,16.60557794,30.28305782,19.04480413,32.13191918,3.127837851,24.41188097,3.99999838,12.80773059,0,14.46729533,76.40492481,11.04941801,31.80856772,50.85180788,51.79506793,0,2,9.050855673,139.4301318,7,11.04434602,191.7054176,113.1610513,46.56599876,107.1508513,0,0,96.14377593
"485",55.5328279,64.90718823,1.020408163,62.07201876,3.027572845,58.27004481,27.77150311,159.889372,48.39756903,2.001284525,79.19450816,40.01095556,0,16.65206203,0,98.28540271,82.35854538,0,99.61514977,0,212.6642058,139.3958589,75.90804198,180.5958038,58.22491504,60.91402667,118.6424099,60.95587924,11.99991166,0,1.009746143,32.13787858,42.26239028,35.39111243,65.7291691,195.3024361,16.84841362,215.9651852,57.34547471,86.5119084,32.92349631,14.49725507,117.8451312,65.92236635,19.18974284,95.88905804,32.9601421,167.2590063,33.75696847,1,81.07756858,7.019092065,80.59778874,120.6449323,51.01324801,119.7073259,0,0,6.04228899,0,38.95045597
"4072",287.746204,58.05940239,7.142857143,0,33.96985427,56.44779875,288.4939368,16.84587414,16.59554588,87.79868306,33.32334016,3.004231312,0,322.0970964,140.8373045,40.9588425,112.1353858,440.8714285,36.93418603,22.99606665,70.23003635,114.6855586,24.227572,2.000125453,56.34156828,237.7663411,94.04903682,35.85344268,177.7448284,17.47596971,74.71988198,34.74735884,228.8472496,13.43706033,43.69268556,138.8785446,22.56431018,12.32435389,11.66528992,12.1412531,12.81503196,0,8.19337921,136.503528,25.40246839,70.94397742,40.3868466,109.1863868,19.12039514,0,36.00980405,132.2795061,11.0000865,2.008164053,174.7328057,79.90314237,78.85288674,17.07856306,2,0,179.3546643
"1827",110.8986383,105.4112276,0,29.11569149,16.88134427,83.333341,86.83202239,43.45001337,71.08298087,6.999523921,126.5296762,10.72239496,0,19.56920709,0,68.79117274,40.48907825,0,77.59836018,0,177.7447397,33.15952658,79.83566691,344.5045089,154.1430264,288.5564536,165.6401879,74.73444092,39.05712106,49.43983658,0,34.1103324,174.3354067,94.2608133,40.21416913,332.300482,58.38686117,425.5960758,80.71908754,137.7910789,52.89918123,69.71754869,131.6788437,70.83781429,67.98728059,47.61346516,31.67879154,139.4712056,134.7836167,2,249.1651321,5.169876775,138.8751425,84.10895688,42.22080278,70.26170569,0,0,49.78806578,1,28.0698879
"6223",248.827305,200.3704844,8.163265306,905.7689724,228.0100911,619.7309973,2751.507073,248.8936488,114.9683658,187.5521351,126.2049824,164.3187807,4,256.0483323,363.0112359,1016.171429,183.9999221,390.2247333,930.7596748,818.1630995,154.3468757,927.9923751,223.080692,10.00010294,383.8974088,123.3527549,282.4222569,62.59423077,534.6711235,738.4740927,408.8574782,213.320747,414.9366229,209.0013037,341.9530092,321.1729786,1031.243477,33.06731186,526.9807421,159.4036139,715.2584261,8.007457877,63.69324854,93.79399052,512.8517927,309.6406357,500.5741821,630.0666867,791.9342645,31.96774194,225.3069274,101.0534625,365.602867,388.1437754,453.8524072,288.3066797,278.9956361,0,56.96584388,0,253.1568161
"10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998046969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088434238,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.001257862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"1110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.992936499,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002089864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000695234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.829077823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12929",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.002222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.519252518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001782565,0,0,0,0,0,0,0,0,0,0
"1364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
