Sample,Reads,Richness
N1,NA,0.9999999999999988
N1,NA,10.867677533436465
N1,NA,12.622310094482478
N1,NA,13.281012388102962
N1,NA,13.586687961740113
N1,NA,13.750467003463802
N1,NA,13.84655120193571
N1,NA,13.905709743819589
N1,NA,13.942861544873466
N1,NA,13.966217936342584
N1,NA,13.980714626597663
N1,NA,13.989489926291018
N1,NA,13.994606250526159
N1,NA,13.997438646276752
N1,NA,13.99890116767519
N1,NA,13.999588760541403
N1,NA,13.99987290677263
N1,NA,13.999970496618023
N1,NA,13.999995734106587
N1,NA,13.999999758433063
N1,NA,13.999999999200742
N1,NA,14
N51,NA,0.9999999999999988
N51,NA,10.867677533436465
N51,NA,12.622310094482478
N51,NA,13.281012388102962
N51,NA,13.586687961740113
N51,NA,13.750467003463802
N51,NA,13.84655120193571
N51,NA,13.905709743819589
N51,NA,13.942861544873466
N51,NA,13.966217936342584
N51,NA,13.980714626597663
N51,NA,13.989489926291018
N51,NA,13.994606250526159
N51,NA,13.997438646276752
N51,NA,13.99890116767519
N51,NA,13.999588760541403
N51,NA,13.99987290677263
N51,NA,13.999970496618023
N51,NA,13.999995734106587
N51,NA,13.999999758433063
N51,NA,13.999999999200742
N51,NA,14
N101,NA,0.9999999999999988
N101,NA,10.867677533436465
N101,NA,12.622310094482478
N101,NA,13.281012388102962
N101,NA,13.586687961740113
N101,NA,13.750467003463802
N101,NA,13.84655120193571
N101,NA,13.905709743819589
N101,NA,13.942861544873466
N101,NA,13.966217936342584
N101,NA,13.980714626597663
N101,NA,13.989489926291018
N101,NA,13.994606250526159
N101,NA,13.997438646276752
N101,NA,13.99890116767519
N101,NA,13.999588760541403
N101,NA,13.99987290677263
N101,NA,13.999970496618023
N101,NA,13.999995734106587
N101,NA,13.999999758433063
N101,NA,13.999999999200742
N101,NA,14
N151,NA,0.9999999999999988
N151,NA,10.867677533436465
N151,NA,12.622310094482478
N151,NA,13.281012388102962
N151,NA,13.586687961740113
N151,NA,13.750467003463802
N151,NA,13.84655120193571
N151,NA,13.905709743819589
N151,NA,13.942861544873466
N151,NA,13.966217936342584
N151,NA,13.980714626597663
N151,NA,13.989489926291018
N151,NA,13.994606250526159
N151,NA,13.997438646276752
N151,NA,13.99890116767519
N151,NA,13.999588760541403
N151,NA,13.99987290677263
N151,NA,13.999970496618023
N151,NA,13.999995734106587
N151,NA,13.999999758433063
N151,NA,13.999999999200742
N151,NA,14
N201,NA,0.9999999999999988
N201,NA,10.867677533436465
N201,NA,12.622310094482478
N201,NA,13.281012388102962
N201,NA,13.586687961740113
N201,NA,13.750467003463802
N201,NA,13.84655120193571
N201,NA,13.905709743819589
N201,NA,13.942861544873466
N201,NA,13.966217936342584
N201,NA,13.980714626597663
N201,NA,13.989489926291018
N201,NA,13.994606250526159
N201,NA,13.997438646276752
N201,NA,13.99890116767519
N201,NA,13.999588760541403
N201,NA,13.99987290677263
N201,NA,13.999970496618023
N201,NA,13.999995734106587
N201,NA,13.999999758433063
N201,NA,13.999999999200742
N201,NA,14
N251,NA,0.9999999999999988
N251,NA,10.867677533436465
N251,NA,12.622310094482478
N251,NA,13.281012388102962
N251,NA,13.586687961740113
N251,NA,13.750467003463802
N251,NA,13.84655120193571
N251,NA,13.905709743819589
N251,NA,13.942861544873466
N251,NA,13.966217936342584
N251,NA,13.980714626597663
N251,NA,13.989489926291018
