tax_id	species	genus	family	order	class	phylum	superkingdom
5389	ultunensis;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
5392				Saccharimonadales	Saccharimonadia	Patescibacteria	Bacteria
5396		Shuttleworthia	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
55		Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
5542	kalixensis;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
5579	amylolyticus;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
5607		Candidatus Ancillula	Actinomycetales Incertae Sedis	Actinomycetales	Actinobacteria	Actinobacteriota	Bacteria
5618	pluranimalium;	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
5636			Rs-E47 termite group	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
569	velezensis;	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
5691	sanguinis;	Gemella	Gemellaceae	Staphylococcales	Bacilli	Firmicutes	Bacteria
5752		Epulopiscium	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
5755	chinense;	Planomicrobium	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
578		Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
5839		Papillibacter	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
5855		[Eubacterium] brachy group	Anaerovoracaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
59		Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
590	enterica;	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
5909		Candidatus Soleaferrea	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
5911			Coriobacteriales Incertae Sedis	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
