tax_id	species	genus	family	order	class	phylum	superkingdom
1632	aurantiacum;	Exiguobacterium	Exiguobacteraceae	Exiguobacterales	Bacilli	Firmicutes	Bacteria
16350		UCG-007	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
16573		Catenibacillus	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
16584		Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria
16667	squillarum;	Undibacterium	Oxalobacteraceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
16841	congonensis;	Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
16874	africanus;	Geodermatophilus	Geodermatophilaceae	Frankiales	Actinobacteria	Actinobacteriota	Bacteria
16887	vadensis;	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria
17098	yeei;	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
17135	valens;	Ileibacterium	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
17183	amargosae;	Geodermatophilus	Geodermatophilaceae	Frankiales	Actinobacteria	Actinobacteriota	Bacteria
17197	sicca;	Neisseria	Neisseriaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
172		Roseburia	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
17215		Dubosiella	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
17239		DNF00809	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
1725			Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
17326		Frisingicoccus	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
175		Clostridium sensu stricto 1	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
17592		[Bacteroides] pectinophilus group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
179		Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
17999		Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
18074		Rikenella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
18077		Ileibacterium	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
181		[Eubacterium] siraeum group	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
1813	cibaria;	Weissella	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1822		Anaerovorax	Anaerovoracaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
1827		Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1828		Rahnella1	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
18316		Coprobacillus	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
185		Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
18507	pectinophilus;	[Bacteroides] pectinophilus group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
18538			Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
18587		HT002	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
18594		CAG-56	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
18692		Coriobacteriaceae UCG-002	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
18791		UC5-1-2E3	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
1880			Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
18917		Coriobacterium	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
18964			Williamwhitmaniaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
18991	mutanolyticus;	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
1900	flavefaciens;	Ruminococcus	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
19414	jeotgali;	Methylobacterium-Methylorubrum	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
1956		Brevibacterium	Brevibacteriaceae	Micrococcales	Actinobacteria	Actinobacteriota	Bacteria
19560							Eukaryota
1976	uniformis;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
201		Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli	Firmicutes	Bacteria
2091	choerinum;	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
21		Blautia	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
2170	acnes;	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
2180		Weissella	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
222		Erysipelatoclostridium	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
2232	kefiranofaciens;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
227		Incertae Sedis	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
2324						Firmicutes	Bacteria
2420	formigenes;	Oxalobacter	Oxalobacteraceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
2446	ovatus;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
245		Escherichia-Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
249		Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
2569	thetaiotaomicron;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
257			Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
2647		Anaerotruncus	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
27		Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
2725	casseliflavus;	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
2734		Lachnospiraceae UCG-004	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
2744	gallinarum;	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
2761		Enterobacillus	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
28	amyloliquefaciens;	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
2806		Rikenellaceae RC9 gut group	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
281		Lysinibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
283			[Clostridium] methylpentosum group	Oscillospirales	Clostridia	Firmicutes	Bacteria
2835	genitalium;	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteriota	Bacteria
285		Nocardioides	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
2856	aeriphila;	Aeriscardovia	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
289		Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteriota	Bacteria
2905	intestinalis;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
296		Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
2999		Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
